STAID,LAT,LON,geometry
19081,69.25805555555556,19.98333333333333,POINT (19.98333333333333 69.25805555555556)
19085,62.189166666666665,8.543888888888889,POINT (8.543888888888889 62.189166666666665)
19086,61.68555555555555,11.195555555555556,POINT (11.195555555555556 61.68555555555555)
19087,67.13305555555554,16.083055555555557,POINT (16.083055555555557 67.13305555555554)
19088,64.58666666666666,12.511944444444444,POINT (12.511944444444444 64.58666666666666)
19089,62.89555555555555,11.875555555555556,POINT (11.875555555555556 62.89555555555555)
19090,60.2,11.583055555555555,POINT (11.583055555555555 60.2)
19091,61.515277777777776,9.381944444444445,POINT (9.381944444444445 61.515277777777776)
19092,67.30166666666666,13.498888888888889,POINT (13.498888888888889 67.30166666666666)
19093,58.43527777777778,5.902500000000001,POINT (5.902500000000001 58.43527777777778)
19095,61.135,11.373888888888889,POINT (11.373888888888889 61.135)
19096,59.54805555555556,8.418055555555554,POINT (8.418055555555554 59.54805555555556)
19097,60.723055555555554,11.153055555555556,POINT (11.153055555555556 60.723055555555554)
19098,58.26777777777777,7.311944444444444,POINT (7.311944444444444 58.26777777777777)
19099,70.43305555555555,25.18305555555556,POINT (25.18305555555556 70.43305555555555)
19100,65.59305555555555,13.983055555555556,POINT (13.983055555555556 65.59305555555555)
19101,62.07666666666667,9.128333333333334,POINT (9.128333333333334 62.07666666666667)
19102,65.68305555555555,14.166666666666666,POINT (14.166666666666666 65.68305555555555)
19103,63.43805555555555,11.69138888888889,POINT (11.69138888888889 63.43805555555555)
19104,69.36666666666666,20.28305555555556,POINT (20.28305555555556 69.36666666666666)
19105,63.431666666666665,10.414444444444444,POINT (10.414444444444444 63.431666666666665)
19106,63.41888888888889,11.758888888888889,POINT (11.758888888888889 63.41888888888889)
19107,58.99305555555556,11.538055555555555,POINT (11.538055555555555 58.99305555555556)
19109,65.58777777777777,14.007777777777775,POINT (14.007777777777775 65.58777777777777)
19110,60.20416666666667,6.113055555555556,POINT (6.113055555555556 60.20416666666667)
19111,61.72777777777778,9.544166666666667,POINT (9.544166666666667 61.72777777777778)
19112,59.49805555555556,11.286944444444444,POINT (11.286944444444444 59.49805555555556)
19113,60.63138888888889,6.4325,POINT (6.4325 60.63138888888889)
19115,60.75277777777778,4.710555555555556,POINT (4.710555555555556 60.75277777777778)
19116,59.833333333333336,10.435555555555556,POINT (10.435555555555556 59.833333333333336)
19117,60.73194444444445,7.120555555555555,POINT (7.120555555555555 60.73194444444445)
19118,64.46166666666667,13.591666666666669,POINT (13.591666666666669 64.46166666666667)
19120,65.21666666666667,13.366666666666667,POINT (13.366666666666667 65.21666666666667)
19121,62.96666666666667,7.15,POINT (7.15 62.96666666666667)
19122,68.58277777777778,16.570555555555554,POINT (16.570555555555554 68.58277777777778)
19129,62.28083333333333,10.799166666666666,POINT (10.799166666666666 62.28083333333333)
19149,59.91277777777778,10.7175,POINT (10.7175 59.91277777777778)
19151,62.22555555555556,9.546944444444444,POINT (9.546944444444444 62.22555555555556)
19192,69.65333333333334,18.93638888888889,POINT (18.93638888888889 69.65333333333334)
19195,58.013888888888886,7.608333333333333,POINT (7.608333333333333 58.013888888888886)
19201,59.93055555555555,10.754166666666666,POINT (10.754166666666666 59.93055555555555)
19205,52.8475,5.679166666666667,POINT (5.679166666666667 52.8475)
19206,52.08305555555556,5.133055555555555,POINT (5.133055555555555 52.08305555555556)
19207,51.98305555555556,5.983055555555556,POINT (5.983055555555556 51.98305555555556)
19208,51.736666666666665,5.145555555555556,POINT (5.145555555555556 51.736666666666665)
19209,58.42444444444444,8.300277777777778,POINT (8.300277777777778 58.42444444444444)
19210,59.25555555555555,5.196388888888889,POINT (5.196388888888889 59.25555555555555)
19211,66.44583333333334,15.134444444444444,POINT (15.134444444444444 66.44583333333334)
19212,70.43277777777779,24.508055555555558,POINT (24.508055555555558 70.43277777777779)
19213,70.05083333333333,25.008333333333333,POINT (25.008333333333333 70.05083333333333)
19214,59.93305555555556,10.75,POINT (10.75 59.93305555555556)
19215,60.43444444444444,5.642777777777777,POINT (5.642777777777777 60.43444444444444)
19216,59.823888888888895,7.1925,POINT (7.1925 59.823888888888895)
19217,62.89805555555556,10.105,POINT (10.105 62.89805555555556)
19218,59.946666666666665,10.925555555555556,POINT (10.925555555555556 59.946666666666665)
19219,59.49277777777778,8.631944444444445,POINT (8.631944444444445 59.49277777777778)
19220,69.83527777777778,19.008055555555558,POINT (19.008055555555558 69.83527777777778)
19221,58.79055555555556,7.350555555555555,POINT (7.350555555555555 58.79055555555556)
19222,59.15055555555556,10.2025,POINT (10.2025 59.15055555555556)
19223,63.3,10.466666666666669,POINT (10.466666666666669 63.3)
19225,65.29888888888888,12.645555555555555,POINT (12.645555555555555 65.29888888888888)
19226,59.6675,10.645277777777777,POINT (10.645277777777777 59.6675)
19227,68.06416666666667,16.663055555555555,POINT (16.663055555555555 68.06416666666667)
19228,60.41666666666666,7.333055555555555,POINT (7.333055555555555 60.41666666666666)
19230,62.2775,11.731666666666667,POINT (11.731666666666667 62.2775)
19231,59.54055555555556,9.94888888888889,POINT (9.94888888888889 59.54055555555556)
19232,59.07666666666667,9.068333333333332,POINT (9.068333333333332 59.07666666666667)
19233,59.74944444444444,10.195,POINT (10.195 59.74944444444444)
19234,61.49444444444445,5.971388888888889,POINT (5.971388888888889 61.49444444444445)
19236,60.0,10.633055555555556,POINT (10.633055555555556 60)
19237,63.58555555555556,10.76,POINT (10.76 63.58555555555556)
19238,63.394444444444446,10.115277777777775,POINT (10.115277777777775 63.394444444444446)
19239,58.92055555555555,5.721666666666667,POINT (5.721666666666667 58.92055555555555)
19241,70.17583333333334,28.721666666666664,POINT (28.721666666666664 70.17583333333334)
19242,69.56583333333333,24.390833333333333,POINT (24.390833333333333 69.56583333333333)
19243,60.59166666666667,6.805,POINT (6.805 60.59166666666667)
19244,60.80277777777778,6.059444444444444,POINT (6.059444444444444 60.80277777777778)
19245,61.66333333333333,6.821944444444444,POINT (6.821944444444444 61.66333333333333)
19247,59.75083333333333,11.153055555555556,POINT (11.153055555555556 59.75083333333333)
19248,58.71666666666667,6.632777777777778,POINT (6.632777777777778 58.71666666666667)
19249,61.33305555555556,5.935277777777778,POINT (5.935277777777778 61.33305555555556)
19250,58.84333333333333,5.594166666666666,POINT (5.594166666666666 58.84333333333333)
19251,65.40416666666667,13.665833333333332,POINT (13.665833333333332 65.40416666666667)
19252,58.63027777777778,8.690277777777778,POINT (8.690277777777778 58.63027777777778)
19253,61.79444444444445,9.197777777777778,POINT (9.197777777777778 61.79444444444445)
19254,61.85,6.625555555555556,POINT (6.625555555555556 61.85)
19255,70.0,19.916666666666668,POINT (19.916666666666668 70)
19256,62.1,8.983055555555556,POINT (8.983055555555556 62.1)
19257,63.251666666666665,10.045,POINT (10.045 63.251666666666665)
19258,62.12638888888889,10.046666666666669,POINT (10.046666666666669 62.12638888888889)
19259,69.40166666666667,24.656388888888888,POINT (24.656388888888888 69.40166666666667)
19260,61.32888888888889,8.800555555555556,POINT (8.800555555555556 61.32888888888889)
19261,61.07916666666667,6.5825,POINT (6.5825 61.07916666666667)
19262,61.309444444444445,4.735277777777778,POINT (4.735277777777778 61.309444444444445)
19263,61.54444444444445,11.667777777777776,POINT (11.667777777777776 61.54444444444445)
19264,61.31805555555556,6.218055555555556,POINT (6.218055555555556 61.31805555555556)
19265,58.766666666666666,8.483055555555556,POINT (8.483055555555556 58.766666666666666)
19266,62.63305555555556,8.1,POINT (8.1 62.63305555555556)
19267,62.89527777777778,8.199444444444445,POINT (8.199444444444445 62.89527777777778)
19268,61.99666666666667,9.229444444444445,POINT (9.229444444444445 61.99666666666667)
19269,61.72527777777778,10.83777777777778,POINT (10.83777777777778 61.72527777777778)
19270,69.95944444444444,23.29805555555556,POINT (23.29805555555556 69.95944444444444)
19271,71.06416666666667,28.252777777777776,POINT (28.252777777777776 71.06416666666667)
19273,61.04166666666666,9.024166666666668,POINT (9.024166666666668 61.04166666666666)
19274,61.81194444444444,9.015277777777778,POINT (9.015277777777778 61.81194444444444)
19275,59.461666666666666,11.393333333333333,POINT (11.393333333333333 59.461666666666666)
19276,70.39666666666668,23.621944444444445,POINT (23.621944444444445 70.39666666666668)
19277,59.91,10.728333333333332,POINT (10.728333333333332 59.91)
19278,66.80083333333333,15.578333333333331,POINT (15.578333333333331 66.80083333333333)
19279,59.765277777777776,7.368055555555555,POINT (7.368055555555555 59.765277777777776)
19280,64.87944444444443,11.26388888888889,POINT (11.26388888888889 64.87944444444443)
19281,59.23833333333334,7.539166666666667,POINT (7.539166666666667 59.23833333333334)
19282,63.04527777777778,10.290833333333332,POINT (10.290833333333332 63.04527777777778)
19283,59.91138888888889,10.463055555555554,POINT (10.463055555555554 59.91138888888889)
19284,70.35083333333333,26.526666666666667,POINT (26.526666666666667 70.35083333333333)
19285,60.02666666666666,11.327777777777778,POINT (11.327777777777778 60.02666666666666)
19286,59.42083333333333,8.9,POINT (8.9 59.42083333333333)
19287,62.08305555555556,9.05277777777778,POINT (9.05277777777778 62.08305555555556)
19288,60.43194444444444,6.4188888888888895,POINT (6.4188888888888895 60.43194444444444)
19289,60.12305555555555,10.400833333333331,POINT (10.400833333333331 60.12305555555555)
19290,61.99805555555556,5.297777777777777,POINT (5.297777777777777 61.99805555555556)
